# Animation run summary
animation_type,AStar_animation
total_frames,1176
total_time_s,11.7600
success,True
num_collisions,561
num_replans,1220
path_length,282.4976
trajectory_image,animation_run_20260218_115730_AStar_animation_trajectory.png

"# Collisions (time_s, frame, type, detail)"
time_s,frame,type,detail
4.1800,418,ellipse,obstacle indices [1]
4.1900,419,ellipse,obstacle indices [1]
4.2000,420,ellipse,obstacle indices [1]
4.2100,421,ellipse,obstacle indices [1]
4.2200,422,ellipse,obstacle indices [1]
4.2300,423,ellipse,obstacle indices [1]
4.2400,424,ellipse,obstacle indices [1]
4.2500,425,ellipse,obstacle indices [1]
4.2600,426,ellipse,obstacle indices [1]
4.2700,427,ellipse,obstacle indices [1]
4.2800,428,ellipse,obstacle indices [1]
4.2900,429,ellipse,obstacle indices [1]
4.3000,430,ellipse,obstacle indices [1]
4.3100,431,ellipse,obstacle indices [1]
4.3200,432,ellipse,obstacle indices [1]
4.3300,433,ellipse,obstacle indices [1]
4.3400,434,ellipse,obstacle indices [1]
4.3500,435,ellipse,obstacle indices [1]
4.3600,436,ellipse,obstacle indices [1]
4.3700,437,ellipse,obstacle indices [1]
4.3800,438,ellipse,obstacle indices [1]
4.3900,439,ellipse,obstacle indices [1]
4.4000,440,ellipse,obstacle indices [1]
4.4100,441,ellipse,obstacle indices [1]
4.4200,442,ellipse,obstacle indices [1]
4.4300,443,ellipse,obstacle indices [1]
4.4400,444,ellipse,obstacle indices [1]
4.4500,445,ellipse,obstacle indices [1]
4.4600,446,ellipse,obstacle indices [1]
4.4700,447,ellipse,obstacle indices [1]
4.4800,448,ellipse,obstacle indices [1]
4.4900,449,ellipse,obstacle indices [1]
4.5000,450,ellipse,obstacle indices [1]
4.5100,451,ellipse,obstacle indices [1]
4.5200,452,ellipse,obstacle indices [1]
4.5300,453,ellipse,obstacle indices [1]
4.5400,454,ellipse,obstacle indices [1]
4.5500,455,ellipse,obstacle indices [1]
4.5600,456,ellipse,obstacle indices [1]
4.5700,457,ellipse,obstacle indices [1]
4.5800,458,ellipse,obstacle indices [1]
4.5900,459,ellipse,obstacle indices [1]
4.6000,460,ellipse,obstacle indices [1]
4.6100,461,ellipse,obstacle indices [1]
4.6200,462,ellipse,obstacle indices [1]
4.6300,463,ellipse,obstacle indices [1]
4.6400,464,ellipse,obstacle indices [1]
4.6500,465,ellipse,obstacle indices [1]
4.6600,466,ellipse,obstacle indices [1]
4.6700,467,ellipse,obstacle indices [1]
4.6800,468,ellipse,obstacle indices [1]
4.6900,469,ellipse,obstacle indices [1]
4.7000,470,ellipse,obstacle indices [1]
4.7100,471,ellipse,obstacle indices [1]
4.7200,472,ellipse,obstacle indices [1]
4.7300,473,ellipse,obstacle indices [1]
4.7400,474,ellipse,obstacle indices [1]
4.7500,475,ellipse,obstacle indices [1]
4.7600,476,ellipse,obstacle indices [1]
4.7700,477,ellipse,obstacle indices [1]
4.7800,478,ellipse,obstacle indices [1]
4.7900,479,ellipse,obstacle indices [1]
4.8000,480,ellipse,obstacle indices [1]
4.8100,481,ellipse,obstacle indices [1]
4.8200,482,ellipse,obstacle indices [1]
4.8300,483,ellipse,obstacle indices [1]
4.8400,484,ellipse,obstacle indices [1]
4.8500,485,ellipse,obstacle indices [1]
4.8600,486,ellipse,obstacle indices [1]
4.8700,487,ellipse,obstacle indices [1]
4.8800,488,ellipse,obstacle indices [1]
4.8900,489,ellipse,obstacle indices [1]
4.9000,490,ellipse,obstacle indices [1]
4.9100,491,ellipse,obstacle indices [1]
4.9200,492,ellipse,obstacle indices [1]
4.9300,493,ellipse,obstacle indices [1]
4.9400,494,ellipse,obstacle indices [1]
4.9500,495,ellipse,obstacle indices [1]
4.9600,496,ellipse,obstacle indices [1]
4.9700,497,ellipse,obstacle indices [1]
4.9800,498,ellipse,obstacle indices [1]
4.9900,499,ellipse,obstacle indices [1]
5.0000,500,ellipse,obstacle indices [1]
5.0100,501,ellipse,obstacle indices [1]
5.0200,502,ellipse,obstacle indices [1]
5.0300,503,ellipse,obstacle indices [1]
5.0400,504,ellipse,obstacle indices [1]
5.0500,505,ellipse,obstacle indices [1]
5.0600,506,ellipse,obstacle indices [1]
5.0700,507,ellipse,obstacle indices [1]
5.0800,508,ellipse,obstacle indices [1]
5.0900,509,ellipse,obstacle indices [1]
5.1000,510,ellipse,obstacle indices [1]
5.1100,511,ellipse,obstacle indices [1]
5.1200,512,ellipse,obstacle indices [1]
5.1300,513,ellipse,obstacle indices [1]
5.1400,514,ellipse,obstacle indices [1]
5.1500,515,ellipse,obstacle indices [1]
5.1600,516,ellipse,obstacle indices [1]
5.1700,517,ellipse,obstacle indices [1]
5.1800,518,ellipse,obstacle indices [1]
5.1900,519,ellipse,obstacle indices [1]
5.2000,520,ellipse,obstacle indices [1]
5.2100,521,ellipse,obstacle indices [1]
5.2200,522,ellipse,obstacle indices [1]
5.2300,523,ellipse,obstacle indices [1]
5.2400,524,ellipse,obstacle indices [1]
5.2500,525,ellipse,obstacle indices [1]
5.2600,526,ellipse,obstacle indices [1]
5.2700,527,ellipse,obstacle indices [1]
5.2800,528,ellipse,obstacle indices [1]
5.2900,529,ellipse,obstacle indices [1]
5.3000,530,ellipse,obstacle indices [1]
5.3100,531,ellipse,obstacle indices [1]
5.3200,532,ellipse,obstacle indices [1]
5.3300,533,ellipse,obstacle indices [1]
5.3400,534,ellipse,obstacle indices [1]
5.3500,535,ellipse,obstacle indices [1]
5.3600,536,ellipse,obstacle indices [1]
5.3700,537,ellipse,obstacle indices [1]
5.3800,538,ellipse,obstacle indices [1]
5.3900,539,ellipse,obstacle indices [1]
5.4000,540,ellipse,obstacle indices [1]
5.4100,541,ellipse,obstacle indices [1]
5.4200,542,ellipse,obstacle indices [1]
5.4300,543,ellipse,obstacle indices [1]
5.4400,544,ellipse,obstacle indices [1]
5.4500,545,ellipse,obstacle indices [1]
5.4600,546,ellipse,obstacle indices [1]
5.4700,547,ellipse,obstacle indices [1]
5.4800,548,ellipse,obstacle indices [1]
5.4900,549,ellipse,obstacle indices [1]
5.5000,550,ellipse,obstacle indices [1]
5.5100,551,ellipse,obstacle indices [1]
5.5200,552,ellipse,obstacle indices [1]
5.5300,553,ellipse,obstacle indices [1]
5.5400,554,ellipse,obstacle indices [1]
5.5500,555,ellipse,obstacle indices [1]
5.5600,556,ellipse,obstacle indices [1]
5.5700,557,ellipse,obstacle indices [1]
5.5800,558,ellipse,obstacle indices [1]
5.5900,559,ellipse,obstacle indices [1]
5.6000,560,ellipse,obstacle indices [1]
5.6100,561,ellipse,obstacle indices [1]
5.6200,562,ellipse,obstacle indices [1]
5.6300,563,ellipse,obstacle indices [1]
5.6400,564,ellipse,obstacle indices [1]
5.6500,565,ellipse,obstacle indices [1]
5.6600,566,ellipse,obstacle indices [1]
5.6700,567,ellipse,obstacle indices [1]
5.6800,568,ellipse,obstacle indices [1]
5.6900,569,ellipse,obstacle indices [1]
5.7000,570,ellipse,obstacle indices [1]
5.7100,571,ellipse,obstacle indices [1]
5.7200,572,ellipse,obstacle indices [1]
5.7300,573,ellipse,obstacle indices [1]
5.7400,574,ellipse,obstacle indices [1]
5.7500,575,ellipse,obstacle indices [1]
5.7600,576,ellipse,obstacle indices [1]
5.7700,577,ellipse,obstacle indices [1]
5.7800,578,ellipse,obstacle indices [1]
5.7900,579,ellipse,obstacle indices [1]
5.8000,580,ellipse,obstacle indices [1]
5.8100,581,ellipse,obstacle indices [1]
5.8200,582,ellipse,obstacle indices [1]
5.8300,583,ellipse,obstacle indices [1]
5.8400,584,ellipse,obstacle indices [1]
5.8500,585,ellipse,obstacle indices [1]
5.8600,586,ellipse,obstacle indices [1]
5.8700,587,ellipse,obstacle indices [1]
5.8800,588,ellipse,obstacle indices [1]
5.8900,589,ellipse,obstacle indices [1]
5.9000,590,ellipse,obstacle indices [1]
5.9100,591,ellipse,obstacle indices [1]
5.9200,592,ellipse,obstacle indices [1]
5.9300,593,ellipse,obstacle indices [1]
5.9400,594,ellipse,obstacle indices [1]
